,intercept,t-stat,avg(t-stat),avg(r_squared),avg(r_squared_bm),avg(ret),avg(abs(ret)),t-stat(ret),t-stat(abs(ret)),avg(r_squared),sharpe(ret)
Dollar_Trading_Volume_Growth_6M,0.00176857,0.919099236,-0.434469849,0.288750697,0.285072119,0.000284289,0.005385524,0.537197057,13.42040675,0.060572235,0.034461207
Advertising_Expense_To_Market_Value,0.001598253,0.892292741,0.121952782,0.287085901,0.285072119,0.000130573,0.00475548,0.341106512,20.55259387,0.053176194,0.021881993
Momentum_12_Adjusted,0.001201018,0.891310039,0.006496752,0.287743117,0.285072119,-0.00082952,0.007845484,-1.271268845,18.73788445,0.059201493,-0.081551934
Momentum_6M,0.001642152,0.864280872,-0.251316097,0.286875122,0.285072119,0.000815511,0.007732401,1.194338204,16.37709794,0.060615791,0.076616832
Sales_To_Receivables,0.000810342,0.765006825,0.131024978,0.289562265,0.285072119,0.0008068,0.004393087,2.25209458,19.34001355,0.062586613,0.144471935
Return_On_Total_Capital,0.001117498,0.725620523,0.261179339,0.291016185,0.285072119,0.000263149,0.008840322,0.337217336,16.48365258,0.061144124,0.021632502
EBITDA_To_Debt,0.000981089,0.701895433,0.161489211,0.289957057,0.285072119,0.000451509,0.00621932,0.821850611,16.41896478,0.061372394,0.052721741
Cashflow_To_Debt,0.000981089,0.701895433,0.161489211,0.289957057,0.285072119,0.000451646,0.006219077,0.822122051,16.41849142,0.061372343,0.052739154
OIBDP_Liabilities,0.000981089,0.701895433,0.161489211,0.289957057,0.285072119,0.000451646,0.006219077,0.822122051,16.41849142,0.061372343,0.052739154
ROA,0.001031041,0.691394146,0.337988203,0.29174295,0.285072119,0.000312072,0.007209311,0.477750998,15.61353924,0.061139694,0.030647741
Net_Cashflow_To_Price,0.001033758,0.69011392,0.313324983,0.288421898,0.285072119,0.000385766,0.005925015,0.756101144,17.36265433,0.060252941,0.048503911
Aiden_Alpha_3,0.000898629,0.675461823,0.210921451,0.292141965,0.285072119,0.001077707,0.006556345,1.942113204,17.79052715,0.070970415,0.12458662
RnD_To_Market,0.001649524,0.661206261,0.069592463,0.28691493,0.285072119,0.002601488,0.009675165,3.146816361,16.94349047,0.049925964,0.201868364
Book_To_Market,0.000877925,0.657520482,0.201485665,0.287380578,0.285072119,0.000976569,0.004196906,2.482103051,14.29162512,0.058945412,0.159226985
HML,0.000877925,0.657520482,0.201485665,0.287380578,0.285072119,0.000976569,0.004196906,2.482103051,14.29162512,0.058945412,0.159226985
RMW,0.000957971,0.653565153,0.242950734,0.290247214,0.285072119,0.000800695,0.003179293,3.000252993,17.69971473,0.058945112,0.192466319
Momentum_9M,0.000973182,0.585776809,-0.140511102,0.286182582,0.285072119,0.000623437,0.009176585,0.79355388,17.58670876,0.060246016,0.050906505
GM_Signal,0.000559536,0.557627676,-0.043080217,0.286426873,0.285072119,-1.23224E-05,0.002884332,-0.051581957,19.08818277,0.068452176,-0.003308984
Market_Beta,0.000975678,0.541803945,-0.071064259,0.291486516,0.285072119,0.001219024,0.007945224,1.651671029,14.72701613,0.060692951,0.105954746
Aiden_Value_Quality,0.000650344,0.512248476,0.335764422,0.288082015,0.285072119,0.001111553,0.006139599,2.172498354,18.3664625,0.063856483,0.139365834
Intangible_Assets_To_Assets,0.000608441,0.48036923,-0.104683714,0.289337308,0.285072119,0.00181287,0.005838465,3.661161012,16.9653886,0.068457204,0.234863588
RnD_Capital_To_Assets,0.000608441,0.48036923,-0.104683714,0.289337308,0.285072119,0.00181287,0.005838465,3.661161012,16.9653886,0.068457204,0.234863588
Acceleration_6M,0.000837951,0.459447917,-0.268021224,0.286273959,0.285072119,0.000918501,0.004839829,2.22366916,17.36362107,0.060049335,0.142648443
Sector_Neutral_Value,0.000559562,0.427834276,0.228718001,0.287101323,0.285072119,0.00092028,0.007247787,1.537805056,19.00495921,0.062923241,0.09865024
Order_Backlog,0.000453216,0.419979215,0.376144859,0.290325857,0.285072119,-,-,-,-,-,-
Dividend_Yield,0.000559857,0.381949614,0.226858816,0.288569483,0.285072119,-0.000215173,0.005787876,-0.42348459,16.67354786,0.106453285,-0.027166549
Free_Cash_Flow_To_Assets,0.000571349,0.374304096,0.236009662,0.288752243,0.285072119,0.000394097,0.007696609,0.584761666,16.75304732,0.06167472,0.037512478
Advertising_Expense_Growth,0.00054535,0.325513885,0.075214776,0.286610773,0.285072119,-0.000393066,0.003740761,-1.243768044,18.05543093,0.053912781,-0.079787757
EBIT_To_Invested_Capital,0.000490921,0.305145007,0.304092635,0.289709931,0.285072119,-0.000753842,0.006813669,-1.26884921,16.81199033,0.060434333,-0.081396715
Net_Income_Margin,0.00041977,0.293708012,0.279019557,0.291019358,0.285072119,0.000280333,0.005980023,0.539834713,17.06312192,0.062872631,0.034630413
Preferred_Dividend_Coverage,0.000715035,0.256952395,0.207245385,0.289297337,0.285072119,7.64255E-05,0.007047149,0.125965636,17.41453323,0.06197415,0.008080699
ROA_Growth_3Y,0.000255554,0.234726088,0.099110017,0.287079783,0.285072119,9.4383E-05,0.003107853,0.36565436,18.94358794,0.064538317,0.023456738
EBITDA_To_EV,0.000335207,0.220010309,0.286430053,0.288844117,0.285072119,0.000876265,0.008333808,1.264781661,18.75984083,0.065061586,0.081135781
Cashflow_To_EV,0.000335207,0.220010309,0.286430053,0.288844117,0.285072119,0.000876245,0.008333807,1.264753448,18.75988237,0.065061578,0.081133971
Momentum_1Y,0.000277342,0.186425803,-0.019552093,0.287360276,0.285072119,-0.004147038,0.019928467,-2.471235128,17.80651363,0.06077476,-0.158529807
Accrual_Volatility,0.000223907,0.177813292,-0.151846381,0.289874414,0.285072119,-0.000850329,0.005244289,-1.967137432,18.94204455,0.06886801,-0.126191925
Net_Income_To_Employees,0.000177508,0.136153556,0.317110108,0.290707806,0.285072119,0.000735112,0.00476216,1.783920854,16.97471857,0.060104517,0.114438576
EBIT_To_Assets,0.000178107,0.128852439,0.303209068,0.291045228,0.285072119,0.00029057,0.008186242,0.406191524,16.84048886,0.060924885,0.026057198
Asset_Tangibility,0.000139303,0.124356331,-0.350457459,0.289834657,0.285072119,0.000823346,0.004351648,2.312816937,19.15873541,0.059078289,0.148367276
EBIT_To_EV,0.000176531,0.108540463,0.265245161,0.290599515,0.285072119,0.000563377,0.008518093,0.787821625,18.40948517,0.065475254,0.050538781
Asset_Turnover,0.000104527,0.10489871,0.193145723,0.287373189,0.285072119,0.000401003,0.003466453,1.414453372,19.50453847,0.059613439,0.090737226
Payout_Ratio,0.000104864,0.094350099,0.231588896,0.291883497,0.285072119,0.000211205,0.003256863,0.737818049,16.60388552,0.059144352,0.04733105
Net_Payout_Yield_Treasury,9.89286E-05,0.088202704,0.219478373,0.288978883,0.285072119,0.000708082,0.003700676,2.213709411,16.88817214,0.059723577,0.142009525
Momentum,0.000113841,0.08477661,0.045795946,0.287246361,0.285072119,0.000246337,0.006914407,0.41733385,17.73996265,0.063504471,0.026771979
Enterprise_Book_To_Price,7.36684E-05,0.055185932,0.120081824,0.287917051,0.285072119,-0.001798381,0.008855892,-2.400482323,17.64737277,0.061163045,-0.153991013
Cash_Ratio,4.72549E-05,0.043729071,-0.482284162,0.290456658,0.285072119,0.001076851,0.005503638,2.324402472,17.87961862,0.061399395,0.149110488
Stock_Repurchase,-4.39009E-06,-0.003495998,0.075946022,0.292116207,0.285072119,0.000596845,0.003540755,1.95532541,17.06599543,0.05946457,0.125434184
Net_Income_Growth_3Y,-2.22894E-05,-0.020334564,0.139854433,0.287970703,0.285072119,0.000265981,0.003164134,1.042727952,20.35773723,0.064509485,0.066891029
Earnings_Growth_3Y,-3.56194E-05,-0.031419722,0.178756401,0.287877488,0.285072119,0.000260131,0.003281904,0.971763938,19.75072823,0.064546162,0.062338686
ROE,-4.13682E-05,-0.03654567,-0.003259188,0.291241869,0.285072119,0.000204411,0.006071825,0.371458949,15.61104674,0.059801654,0.023829103
Capital_Expenditures_To_Assets,-3.56593E-05,-0.036645041,-0.203429073,0.287438025,0.285072119,-0.000123015,0.003875561,-0.397193453,20.96508749,0.060518685,-0.025479972
Sales_To_Employees,-5.21842E-05,-0.055729934,-0.110075904,0.286980605,0.285072119,0.000970023,0.003436745,3.561981112,20.03390457,0.062317972,0.228501195
Payout_Yield_Cashflow,-9.3828E-05,-0.056565044,0.002462942,0.288514869,0.285072119,0.000247547,0.003812187,0.776042063,18.55767431,0.059670787,0.049783122
ROIC,-8.52521E-05,-0.061704939,0.287189446,0.290297736,0.285072119,0.00039882,0.006696156,0.657012303,15.58477182,0.060664116,0.042147359
Convertible_Debt_Indicator,-0.000169884,-0.0901699,-0.04940438,0.286337866,0.285072119,0.000106649,0.008254259,0.152102546,17.95675754,0.070650825,0.009757383
Momentum_36M,-0.000173804,-0.092801803,0.069266202,0.288645515,0.285072119,0.000644218,0.006788447,1.072428899,16.3249367,0.064364374,0.068796346
Liabilities_To_Price,-0.000200927,-0.164324517,0.155361218,0.287668304,0.285072119,-5.54201E-05,0.007967735,-0.074876988,14.8837566,0.060267808,-0.004803361
Earnings_To_Market_Value,-0.000336873,-0.195860004,0.262376142,0.292540186,0.285072119,-0.000221077,0.007756522,-0.31989778,16.16588889,0.062101911,-0.020521452
Debt_To_Price,-0.000248177,-0.198097733,0.169651555,0.287697979,0.285072119,6.55746E-06,0.008020977,0.008835403,14.9964444,0.060236876,0.000566791
Sales_To_Cash,-0.000219616,-0.206023334,0.633032569,0.290614998,0.285072119,-8.26649E-05,0.003829596,-0.259540605,18.88536192,0.061994418,-0.016649538
Cashflow_To_Assets,-0.000270151,-0.208917904,0.17050817,0.289530998,0.285072119,0.000378447,0.008705138,0.503587252,17.2898325,0.061048513,0.032305137
Unlevered_Cashflow_To_EV,-0.000284118,-0.209161863,0.192386776,0.287144768,0.285072119,0.000847154,0.005012093,1.886978859,15.76096619,0.063412267,0.12104975
Absolute_Accruals,-0.000257236,-0.213958837,-0.111723683,0.288699651,0.285072119,-0.000569419,0.005219078,-1.285445762,17.85235315,0.062771044,-0.082461384
Sales_To_Assets,-0.000252007,-0.23280641,0.093138047,0.288641457,0.285072119,0.00094102,0.005148136,2.219951182,18.8915677,0.062707439,0.142409935
Current_Operating_Assets_Change,-0.000315679,-0.267096795,-0.004129537,0.287614116,0.285072119,0.000792082,0.003862544,2.496168986,18.87493189,0.059413473,0.160129315
CFO_To_Price,-0.000474752,-0.270633127,0.247759083,0.288034062,0.285072119,-0.000857822,0.007394371,-1.301009369,16.03066338,0.060238914,-0.08345979
Sales_To_Assets_Growth_3Y,-0.000279959,-0.284801092,-0.106576245,0.286663457,0.285072119,8.28717E-05,0.00340997,0.282322739,17.41506265,0.067257056,0.018111012
Piotroski_Fscore,-0.000373507,-0.296005008,0.140769841,0.288969578,0.285072119,0.000172177,0.00364746,0.554164972,17.8179184,0.059571433,0.0355497
Sales_To_Assets_Growth_5Y,-0.000358103,-0.33956025,-0.149168885,0.287406585,0.285072119,0.000176377,0.003495524,0.617385902,19.707359,0.070534706,0.039605324
Aiden_Alpha_2,-0.000418568,-0.340789228,-0.039908229,0.289228821,0.285072119,0.000594641,0.005451741,1.28346896,17.80067239,0.070359804,0.082334572
RnD_To_Sale,-0.000618822,-0.358270755,-0.219823448,0.285839356,0.285072119,0.000402643,0.010650779,0.454941265,18.91268591,0.053247648,0.029184496
RnD_To_Sales,-0.000629002,-0.364119289,-0.219563791,0.285837232,0.285072119,0.000411447,0.010665018,0.464403638,18.92559195,0.05324968,0.029791507
GPA,-0.000412664,-0.377177974,0.053774808,0.289082443,0.285072119,0.001339424,0.006156477,2.642488348,18.7046543,0.060692104,0.169515707
Working_Capital_To_Assets,-0.000477049,-0.406091133,-0.201931176,0.287259992,0.285072119,0.00029749,0.005412092,0.647191018,17.92947434,0.059631544,0.041517323
Gross_Profit_To_Assets,-0.00045282,-0.411867554,0.053954758,0.289103868,0.285072119,0.001339589,0.006158062,2.642348967,18.7084477,0.060692129,0.169506765
Long_Term_NOA_Change,-0.000354291,-0.417330643,-0.038294412,0.28557143,0.285072119,-5.53686E-05,0.00310901,-0.208629098,17.75322251,0.058764851,-0.013383563
RnD_Increase,-0.000824424,-0.418181148,-0.086620983,0.286765863,0.285072119,-,-,-,-,-,-
Ivolatility,-0.000795852,-0.421988393,-0.32560772,0.292704937,0.285072119,-0.000880041,0.011028663,-0.913927322,16.8211784,0.064041066,-0.058628465
PER,-0.00054398,-0.42277206,-0.105153223,0.287056503,0.285072119,-0.000269703,0.004288212,-0.757088473,18.89055816,0.089230998,-0.048567248
Mean_Reversion,-0.000875378,-0.432189108,-0.159524555,0.28639237,0.285072119,-0.001766267,0.007347958,-2.660239803,15.27259973,0.061782876,-0.170654463
Gross_Profit_Margin,-0.000461092,-0.447304106,-0.264169655,0.287853243,0.285072119,6.63909E-05,0.004561366,0.176181029,19.20680252,0.062315972,0.011302018
Sector_Neutral_Quality,-0.000532873,-0.467250471,0.153938412,0.291151751,0.285072119,0.001036746,0.005808794,2.142510111,18.39482343,0.060638873,0.137442088
Number_Of_Employees,-0.000662055,-0.471663267,0.068802735,0.291670294,0.285072119,0.000270747,0.005436325,0.577618499,17.33130682,0.059468619,0.037054244
Corporate_Investment_Growth,-0.000554663,-0.4852761,0.137307915,0.286559462,0.285072119,-0.000366507,0.002574463,-1.757973728,19.89636968,0.067014782,-0.112774067
Tax_to_Book_Income,-0.000482075,-0.511671498,-0.111524704,0.286566688,0.285072119,0.000264776,0.002711417,1.144519743,17.66723494,0.089200586,0.073420976
Value,-0.000771334,-0.525964141,0.371555104,0.289469465,0.285072119,-0.000902548,0.008188567,-1.362999533,20.10438814,0.06075344,-0.087436461
Tax_Expense_Change,-0.000410545,-0.549110956,-0.150549147,0.285745758,0.285072119,-,-,-,-,-,-
Net_Income_Growth_5Y,-0.000694043,-0.556936827,0.245152261,0.288414915,0.285072119,0.000185495,0.003108137,0.708014926,18.24312513,0.068145471,0.045419179
Revenue_Surprise,-0.00063907,-0.559992412,-0.276112657,0.287831563,0.285072119,0.000603711,0.002714911,2.632785275,17.61728249,0.071264224,0.168893254
XSGA_To_Sales,-0.00077645,-0.569330783,-0.299352908,0.289087858,0.285072119,0.000720893,0.006767571,1.255735641,17.88205197,0.064728963,0.080555479
Share_Turnover_Volatility,-0.000903808,-0.57465084,-0.485963307,0.292794703,0.285072119,-0.000549078,0.006281687,-0.979021579,16.03840794,0.066129675,-0.062804264
Corporate_Investment,-0.000626124,-0.582461989,-0.362358655,0.288597466,0.285072119,-0.000433751,0.004356065,-1.202759143,18.96801443,0.063301166,-0.077157035
Leverage,-0.000616759,-0.58356682,0.087392556,0.287061766,0.285072119,-0.000186165,0.004972538,-0.417655514,15.95993654,0.065639686,-0.026792614
Long_Term_Reversal,-0.001136425,-0.585025732,-0.098920435,0.289441196,0.285072119,-0.0001116,0.006992974,-0.180813538,16.49379954,0.064325114,-0.011599194
Net_Operating_Assets_Change,-0.00050402,-0.602636469,0.02701844,0.285842286,0.285072119,0.000492256,0.002691811,2.181473152,18.10784393,0.059646653,0.139941568
Short_Term_Reversal,-0.001223614,-0.604590626,0.178509632,0.286371316,0.285072119,0.001766249,0.007347958,2.660213293,15.27260787,0.061782876,0.170652762
Organizational_Capital_To_Assets,-0.000760871,-0.609167058,-0.230356047,0.287281406,0.285072119,0.001201355,0.006193171,2.221262645,16.51601336,0.061995951,0.142494065
Depreciation_Ratio_Gross,-0.000662371,-0.614997814,0.068500177,0.287217227,0.285072119,-3.0709E-05,0.003548685,-0.099482089,17.02069246,0.059393405,-0.006381779
Assets_To_Employees,-0.000614925,-0.625152727,-0.353442229,0.287185279,0.285072119,-0.000323451,0.005679168,-0.689328005,19.15798078,0.059757336,-0.044220412
Dividend_To_Price,-0.000962514,-0.627969022,0.181042619,0.287906311,0.285072119,-0.001286418,0.006433849,-2.331829218,17.14559003,0.1441355,-0.149586914
Market_Value_Growth_1Y,-0.000852442,-0.649253691,-0.11356121,0.286390029,0.285072119,-0.003139832,0.009226014,-4.085156365,17.40374297,0.059842518,-0.262062903
Cash_To_Fixed_Assets,-0.000663572,-0.650839463,-0.302068808,0.287646158,0.285072119,0.000616875,0.004783231,1.589810137,19.86636819,0.059421544,0.101986368
Operating_Leverage,-0.000649008,-0.654022641,0.150589353,0.287937667,0.285072119,0.001039226,0.004979038,2.514164745,18.39283148,0.061627475,0.161283744
Operating_Expenses_To_Assets,-0.000665635,-0.667175812,0.15830946,0.287959472,0.285072119,0.001037143,0.004981563,2.507453803,18.38878996,0.061615188,0.160853236
Net_Payout_Yield_Cashflow,-0.000837134,-0.669201833,0.180157546,0.289639184,0.285072119,0.001076217,0.004370887,2.887050423,17.12996427,0.06039349,0.185204371
EBITDA_Margin,-0.000964993,-0.721672063,0.028196616,0.288346707,0.285072119,-0.000487622,0.006302498,-0.943707498,19.49606314,0.06267089,-0.060538864
OIBDP_Margin,-0.000964993,-0.721672063,0.028196616,0.288346707,0.285072119,-0.000487625,0.006302496,-0.943713068,19.49606306,0.062670889,-0.060539222
Volatility_3M,-0.0012606,-0.729823359,-0.241451095,0.291114174,0.285072119,-0.000463072,0.006814753,-0.747307097,15.48251009,0.061248804,-0.047939773
ROA_Growth_5Y,-0.000844305,-0.75648994,0.313692971,0.288584177,0.285072119,-3.66878E-05,0.003192058,-0.135008512,17.86665029,0.06823871,-0.0086608
Sales_Growth_5Y,-0.000783201,-0.774223124,-0.304493113,0.287759699,0.285072119,-0.000328299,0.004625898,-0.847667485,18.52128126,0.070779689,-0.054377895
EBIT_Margin,-0.001094852,-0.808588944,0.131364997,0.289402471,0.285072119,-0.000302722,0.006446525,-0.561413661,18.60100024,0.062626347,-0.036014703
Operating_Income_To_Sales_0,-0.001101307,-0.814112358,0.13048737,0.289409546,0.285072119,-0.000309012,0.006446359,-0.573177453,18.60634247,0.062634573,-0.036769351
Cashflow_To_Price,-0.001266725,-0.825689945,0.33520385,0.287380334,0.285072119,-0.001134943,0.007546372,-1.713159679,16.47400715,0.060153925,-0.109899245
Long_Term_Debt_To_Common_Equity,-0.000972016,-0.827129614,0.200458693,0.28902087,0.285072119,-8.71196E-05,0.004818337,-0.20331727,16.2338386,0.069226103,-0.013042809
Residual_Volatility_6_3,-0.001291622,-0.846001586,-0.34165755,0.292318888,0.285072119,-0.000314922,0.005506599,-0.615740171,14.86598641,0.060534773,-0.03949975
Dollar_Trading_Volume_Growth_1Y,-0.00163381,-0.84604778,-0.489637585,0.289073074,0.285072119,-0.000393776,0.00684937,-0.6098279,14.45493361,0.061045169,-0.039120478
Outstanding_Shares_Log_Change_1Y,-0.001000112,-0.859714055,-0.042040419,0.291315492,0.285072119,-0.000773775,0.004053728,-2.183166663,16.48637254,0.059717293,-0.140050207
Aiden_Mom_Growth,-0.001167335,-0.904205143,-0.099961286,0.288645852,0.285072119,-0.000108092,0.004220058,-0.290030885,16.46906023,0.06774898,-0.01860549
Long_Term_Debt_To_Assets,-0.001069011,-0.909019624,0.365213506,0.291714817,0.285072119,-0.000272216,0.004855282,-0.638202602,16.6313664,0.06870205,-0.040940716
Capital_Expenditures_Growth_3Y,-0.001027919,-0.923958942,0.024071259,0.286136386,0.285072119,-0.000752438,0.003473314,-2.656274877,19.14174875,0.064294132,-0.170400113
Number_Of_Earnings_Increase,-0.000827834,-0.926360916,-0.145458072,0.286071098,0.285072119,-,-,-,-,-,-
Debt_To_Assets,-0.000908775,-0.927062624,0.083801756,0.28760159,0.285072119,0.000239323,0.00622896,0.436060797,16.54281347,0.060255063,0.027973313
Liabilities_To_Assets,-0.000908775,-0.927062624,0.083801756,0.28760159,0.285072119,0.000239323,0.00622896,0.436060797,16.54281347,0.060255063,0.027973313
Equity_Issuance_Yield,-0.001124364,-0.968470601,-0.0544479,0.287683905,0.285072119,-0.000216067,0.003003835,-0.858355928,18.47888432,0.059552079,-0.055063558
Cashflow_Volatility,-0.00126509,-0.992670693,-0.220526202,0.28864664,0.285072119,-0.000211962,0.004079108,-0.626508613,18.98320089,0.103605158,-0.040190546
Return_Volatility_12M,-0.001875882,-1.022133786,-0.355221478,0.292967552,0.285072119,-0.000867002,0.012229566,-0.826748526,17.51805668,0.064867552,-0.053035943
Sales_Growth_3Y,-0.00113185,-1.041889977,-0.260460254,0.288638828,0.285072119,-0.000389052,0.004663078,-0.979627063,17.76968898,0.06744241,-0.062843105
PPE_Inventory_Change,-0.001065724,-1.067092206,-0.151303149,0.287927452,0.285072119,6.74158E-05,0.003647507,0.219196373,18.2693353,0.059011265,0.014061454
Earnings_Growth_5Y,-0.001357647,-1.093334227,0.203178397,0.288012239,0.285072119,5.65208E-05,0.003211903,0.207413465,18.00659413,0.06818824,0.01330558
Debt_To_Fixed_Assets,-0.001103791,-1.128160658,0.165349641,0.287096049,0.285072119,-0.000489637,0.004163023,-1.485422944,21.26616487,0.064038652,-0.095289926
Earnings_To_Price,-0.001967976,-1.15357347,0.31919904,0.290060392,0.285072119,-0.001076495,0.007920262,-1.634666231,18.65296117,0.06107616,-0.104863888
Current_Ratio,-0.001274383,-1.165375001,-0.13602059,0.286775644,0.285072119,-0.000222458,0.004366241,-0.599164366,17.88478858,0.059443887,-0.038436412
Current_Ratio_Growth_3Y,-0.001339038,-1.168830939,-0.101531939,0.286224242,0.285072119,-0.000545439,0.002929598,-2.241648344,18.48773538,0.063646686,-0.143801808
Capital_Expenditures_Growth_2Y,-0.001331558,-1.169289646,-0.130128398,0.286470821,0.285072119,-0.000612413,0.003510411,-2.14604327,19.54256019,0.062691653,-0.13766874
Sales_To_Inventory,-0.001168454,-1.177620557,0.11519236,0.2880159,0.285072119,-0.000312536,0.00376354,-0.985228438,18.20397048,0.065883005,-0.063202434
Close_Price,-0.002742605,-1.181230995,0.114705531,0.292684205,0.285072119,-0.000121302,0.004897159,-0.283682349,16.87597945,0.058839822,-0.018198231
Inventory_Growth,-0.001316316,-1.205914508,-0.060645914,0.287496739,0.285072119,-2.40301E-05,0.003304486,-0.084156797,17.27317195,0.065199355,-0.005398661
SGnA_Signal,-0.001405032,-1.248327368,-0.122330166,0.28643052,0.285072119,-0.000135195,0.003066633,-0.532372769,19.06845276,0.065740443,-0.034151729
Net_Equity_Finance,-0.00150522,-1.263055049,-0.22392258,0.291493286,0.285072119,-0.000685095,0.004019919,-1.91229861,15.91763491,0.06016519,-0.122674013
Current_Operating_Liabilities_Change,-0.001395381,-1.276380568,-0.068587037,0.286606623,0.285072119,0.000970329,0.003556029,3.181136486,16.78623117,0.05933256,0.204070001
Net_Debt_Finance,-0.001182853,-1.288306366,0.140498788,0.286925286,0.285072119,0.000266027,0.002451005,1.274969703,17.7322496,0.058840027,0.081789345
Net_Financial_Assets_Change,-0.001068398,-1.30708379,-0.169298741,0.285883416,0.285072119,2.52829E-05,0.002683116,0.110760792,17.89466046,0.057837432,0.007105308
Quick_Ratio,-0.001433388,-1.326074007,-0.287148172,0.286971615,0.285072119,-0.000292315,0.004444147,-0.759158645,17.12604143,0.059147117,-0.04870005
Financial_Liabilities_Change,-0.001151241,-1.330145696,0.144923493,0.286960051,0.285072119,0.00037623,0.002797038,1.564100398,17.2646383,0.059582935,0.100337087
Dividend_Coverage,-0.001716257,-1.342077686,-0.084966833,0.287382881,0.285072119,2.25246E-05,0.00423015,0.05932615,15.92982061,0.118473416,0.003805774
EV_To_EBITDA,-0.001774439,-1.34540512,-0.090784656,0.288013266,0.285072119,-0.000632478,0.006645851,-1.139068089,18.56117773,0.082926125,-0.073071252
Sales_To_Assets_Growth_1Y,-0.001334002,-1.369875441,-0.092436226,0.28616324,0.285072119,-0.000372734,0.003826202,-1.152132076,18.03920367,0.06242652,-0.073909307
Sector_Neutral_Growth,-0.001402181,-1.388109374,0.047189467,0.28877271,0.285072119,-0.000172468,0.002822975,-0.731582091,18.65330218,0.067626159,-0.046931013
Excess_Market_Return,-0.002632359,-1.416713084,-0.173827571,0.286143402,0.285072119,-0.001809605,0.007092673,-2.938715977,16.46161322,0.061699887,-0.188518718
Asset_Illiquidity_1,-0.001526267,-1.443246457,0.593169462,0.291168243,0.285072119,-0.001081879,0.005157185,-2.512849108,18.15083681,0.059631105,-0.161199345
Cash_Productivity,-0.001693561,-1.472622107,0.164436272,0.288891409,0.285072119,-5.39091E-05,0.003856956,-0.159343438,16.71356344,0.059329626,-0.010221886
Market_Value_Growth_3Y,-0.002331436,-1.47362337,-0.044870978,0.287300472,0.285072119,-0.000698262,0.006212772,-1.280710115,16.57926826,0.064401005,-0.082157592
Depreciation_Ratio_Net,-0.001501329,-1.508947961,0.140727853,0.286115683,0.285072119,-9.09604E-05,0.003759027,-0.286849632,18.24729496,0.059184169,-0.018401413
