,intercept,t-stat(5y),avg(t-stat),avg(r_squared),avg(r_squared_bm),avg(ret),avg(abs(ret)),t-stat(ret),t-stat(abs(ret)),avg(r_squared),sharpe(ret)
EV_To_EBIT,-0.002711029,-0.996107225,0.005645575,0.327068414,0.32341841,0.001871445,0.007570234,1.636278877,11.23484755,0.100925055,0.206151761
Sector_Neutral_Momentum,0.005479182,1.545345062,0.049096666,0.324348713,0.32341841,0.001848289,0.009311248,1.146887946,8.245530604,0.063885153,0.144494299
Market_Beta,0.008489051,2.16528721,-0.104330161,0.328760984,0.32341841,0.001805018,0.009198819,1.057747862,7.225893578,0.065237808,0.133263704
Aiden_Alpha_1,0.005136771,1.609659705,0.087783905,0.327031599,0.32341841,0.001804902,0.006467887,1.773684369,9.942425835,0.082222303,0.223463226
Cash_Ratio,-0.000676052,-0.272290648,-0.439915761,0.335928742,0.32341841,0.001721964,0.007560107,1.390057378,9.205990666,0.06590438,0.175130768
Short_Term_Reversal,-0.000397691,-0.084649522,0.204929229,0.328956692,0.32341841,0.001692541,0.008083874,1.044301638,6.322122776,0.066013985,0.131569639
Acceleration_6M,0.004660238,0.995548813,-0.131455531,0.327383059,0.32341841,0.001481778,0.005810163,1.517551336,8.638081748,0.064344617,0.191193497
Share_Turnover,-0.000807494,-0.208500846,-0.199282595,0.336295311,0.32341841,0.001458137,0.00914233,0.807290087,6.51455322,0.066673263,0.101708991
Sales_To_Assets,0.000294145,0.132724671,-0.178803892,0.329712839,0.32341841,0.001454566,0.005391134,1.666544756,9.327969672,0.068240404,0.209964903
Operating_Leverage,-0.000318395,-0.183809398,-0.093125557,0.326301107,0.32341841,0.001441015,0.005021281,1.731613282,8.804182014,0.068050648,0.218162767
Operating_Expenses_To_Assets,-0.000467706,-0.27028059,-0.089190805,0.326114054,0.32341841,0.001435379,0.005021735,1.72442484,8.804931136,0.068052169,0.217257109
XSGA_To_Sales,-0.00129233,-0.445100916,-0.01774544,0.329570543,0.32341841,0.001423454,0.009133214,0.985336296,10.24276619,0.076055669,0.124140705
Volatility_3M,-0.00487218,-1.200713432,-0.242460937,0.333495474,0.32341841,0.00139148,0.008424103,0.838790038,6.545689646,0.06580327,0.105677612
Share_Turnover_Volatility,-0.001229412,-0.309832315,-0.2667395,0.335390317,0.32341841,0.001380075,0.008662285,0.880713345,7.612929059,0.072673399,0.110959452
Momentum_3M,0.004362244,0.955584808,0.015705355,0.323288135,0.32341841,0.001348401,0.007169682,1.132675433,9.032200431,0.065139302,0.142703691
RnD_To_Assets,0.003114471,1.020072367,-0.269040573,0.327081506,0.32341841,0.001336444,0.011583026,0.705195954,9.488311141,0.050730579,0.088846339
Sales_To_Employees,0.001322843,0.699462003,-0.143566938,0.325329505,0.32341841,0.001319354,0.003705748,2.219967647,9.182673921,0.067426991,0.279689634
SMB,-0.000861117,-0.18822235,0.071863736,0.333465548,0.32341841,0.001310985,0.008873836,0.892590488,9.179242504,0.063819616,0.112455831
Current_Operating_Liabilities_Change,-0.00183442,-0.804636686,-0.168717339,0.323957385,0.32341841,0.001296983,0.00453859,1.81153643,9.849493334,0.064502625,0.228232137
Long_Term_NOA_Change,0.002629124,1.533918771,-0.015370064,0.325028952,0.32341841,0.001283695,0.003650177,2.027870754,7.865040111,0.063054193,0.2554877
Momentum,-0.003345576,-1.24651973,0.078991502,0.324434554,0.32341841,0.001232922,0.008875425,0.840437486,9.223984978,0.068791223,0.10588517
Capital_Expenditures_To_Assets,0.003165335,1.585570159,-0.171752093,0.325726502,0.32341841,0.001229,0.004028114,1.947162089,9.922350041,0.065641516,0.245319364
RnD_To_Market,0.001159047,0.265153909,0.071829529,0.324973522,0.32341841,0.001196683,0.009131148,0.815412591,9.886322428,0.05032609,0.10273233
Altman_Zscore,-0.001277288,-0.492842184,-0.076170565,0.327669599,0.32341841,0.001182573,0.006860246,0.949636968,7.548703732,0.063615462,0.119643012
Net_Payout_Yield_Cashflow,0.000818765,0.294611779,0.066601222,0.328357749,0.32341841,0.001114957,0.005713493,1.241745225,10.29853345,0.065806076,0.156445193
Composite_Debt_Issuance,0.0007073,0.345113172,-0.037378721,0.323310147,0.32341841,0.001058123,0.003103239,2.149054339,9.471929378,0.088221505,0.270755397
Ivolatility,-0.003404531,-0.747817335,-0.176068761,0.336291997,0.32341841,0.001036495,0.013972053,0.40169544,7.388276222,0.069814818,0.050608868
Long_Term_Debt_To_Common_Equity,0.00092121,0.401026446,0.110727595,0.328082839,0.32341841,0.001027131,0.004810698,1.252198685,8.474718826,0.073550807,0.157762205
Noncurrent_Operating_Assets_Change,-0.002494767,-1.125916063,-0.031281178,0.32479232,0.32341841,0.001021879,0.004489166,1.36514021,8.854816246,0.062743035,0.1719915
Long_Term_Debt_Change,0.00057047,0.325807592,0.267957546,0.326747021,0.32341841,0.001021366,0.003308824,1.918255638,9.311440601,0.063619286,0.241677494
PPE_Inventory_Change,0.000539456,0.269401747,-0.079457371,0.324385501,0.32341841,0.00094818,0.004155732,1.349801769,8.598453675,0.063678649,0.170059038
Asset_Turnover,0.00282849,1.283679487,0.092480094,0.325354353,0.32341841,0.000923741,0.003482099,1.728115248,10.65438328,0.063536915,0.217722056
Residual_Volatility_6_3,-0.004840542,-1.440665577,-0.187957954,0.336066511,0.32341841,0.000916546,0.006694829,0.665381554,6.11322447,0.065006471,0.083830196
Financial_Liabilities_Change,0.000131774,0.087909483,0.197753507,0.326998447,0.32341841,0.000873985,0.003791131,1.404538808,9.162796246,0.063744356,0.176955257
Sales_To_Receivables,0.001586557,0.759624193,-0.084760721,0.326603608,0.32341841,0.000867935,0.004474105,1.244994343,10.53910708,0.068862396,0.156854544
Sector_Neutral_Quality,-0.001394598,-0.518599816,-0.090832766,0.334038738,0.32341841,0.00085673,0.006425576,0.817498042,9.530437419,0.064859542,0.102995072
Seasonality,0.003045706,1.155703253,-0.03171664,0.325562753,0.32341841,0.000846446,0.003746375,1.328689781,8.496371542,0.101305987,0.167399178
Net_Payout_Yield_Treasury,0.00280895,1.073791459,0.072403118,0.329092195,0.32341841,0.000810636,0.00485669,1.040589392,9.854468193,0.063727774,0.13110194
Leverage,1.79E-07,8.39E-05,0.07314563,0.328040317,0.32341841,0.000801518,0.004712298,0.93645131,7.542755387,0.070170742,0.117981775
Dollar_Trading_Volume_Growth_6M,0.000488616,0.122402404,-0.17864923,0.330121952,0.32341841,0.000790495,0.006833797,0.559129518,6.070098775,0.065031736,0.070443698
Current_Operating_Assets_Change,-0.000215096,-0.092333105,-0.035430034,0.324099584,0.32341841,0.000776802,0.00376536,1.328407411,10.58765075,0.064428017,0.167363602
Ads_To_Assets,0.000967959,0.450039083,0.049306718,0.322705815,0.32341841,0.000767786,0.004767191,1.019190261,10.25426366,0.062432888,0.128405903
Momentum_36M,-0.002537353,-0.820040859,-0.040233585,0.327501236,0.32341841,0.000763238,0.008826377,0.471110875,7.46678863,0.069916596,0.059354391
PER,-0.001350519,-0.54191309,-0.069450905,0.32533914,0.32341841,0.000743066,0.005323358,0.878181004,10.15291619,0.102124061,0.110640407
Sales_To_Price,0.001213155,0.555204421,-0.016966499,0.326219469,0.32341841,0.000727504,0.007049327,0.650450765,10.2761688,0.068127952,0.081949094
Dollar_Trading_Volume_Growth_1Y,-0.004815546,-0.829828079,-0.190143193,0.33215443,0.32341841,0.000716978,0.00918756,0.384755088,6.279307007,0.066526094,0.048474585
Return_Volatility_12M,-0.003950248,-0.991624585,-0.225988946,0.332852198,0.32341841,0.000714403,0.014309687,0.282703841,8.070624634,0.070535904,0.035617336
Net_Debt_Finance,0.00063946,0.363594334,0.230834395,0.327593657,0.32341841,0.00069962,0.00306663,1.39364365,9.224963766,0.063019414,0.175582596
Sales_To_Assets_Growth_3Y,-0.001732862,-0.828265196,-0.10756472,0.323056931,0.32341841,0.000664061,0.00431858,0.929577626,9.180415265,0.07513249,0.117115773
Earnings_Volatility_5Y,0.001299338,0.552775259,-0.070238887,0.327901816,0.32341841,0.000657683,0.006210025,0.60380866,8.146148232,0.077021981,0.076072741
Net_Operating_Assets_Change,-0.001251978,-0.756782228,-0.134279144,0.326197672,0.32341841,0.000610076,0.002858648,1.252916067,8.493019561,0.064365513,0.157852587
Sales_Growth_Volatility_5Y,0.00105805,0.424185006,0.006597016,0.330798131,0.32341841,0.000603938,0.00462819,0.821413261,10.18801119,0.084822002,0.103488343
Long_Term_Debt_To_Assets,-0.00081696,-0.414012708,0.225387485,0.330642155,0.32341841,0.000599861,0.004997605,0.681169596,8.056644934,0.073264106,0.085819302
EV_To_Sales,-0.003561164,-1.473173394,0.053111228,0.329607579,0.32341841,0.000597666,0.007870845,0.475252145,10.12890597,0.069403855,0.059876142
Net_Noncurrent_Operating_Assets_Change,-0.001886165,-1.080164681,0.051954319,0.32240917,0.32341841,0.000590428,0.004198425,0.804344757,8.162344166,0.062632543,0.101337914
Gross_Profit_Margin,-0.000662513,-0.285333827,-0.04993731,0.328535303,0.32341841,0.00054856,0.00468923,0.763178242,11.29374719,0.067872316,0.096151421
Long_Term_NOA_Change_0,-0.001062884,-0.697037093,-0.124384717,0.327657491,0.32341841,0.000535619,0.002092138,1.613449946,9.831680957,0.062618616,0.203275586
Working_Capital_To_Assets,-0.003544734,-1.34199114,-0.316520652,0.333417516,0.32341841,0.000521193,0.008165654,0.397634664,10.02122817,0.065058093,0.050097259
Free_Cash_Flow_To_Assets,0.001712214,0.446117327,-0.067524775,0.332242365,0.32341841,0.000517692,0.009171785,0.316959284,7.933051994,0.066575727,0.039933116
Corporate_Investment,0.002100017,0.991798315,-0.0486821,0.327146892,0.32341841,0.00051146,0.004191332,0.717911632,8.685716819,0.069521426,0.090448364
Debt_To_Assets,-2.29E-05,-0.010944809,0.096773386,0.331393021,0.32341841,0.000505912,0.006945372,0.408850654,7.91735493,0.064261316,0.051510341
Liabilities_To_Assets,-2.29E-05,-0.010944809,0.096773386,0.331393021,0.32341841,0.000505912,0.006945372,0.408850654,7.91735493,0.064261316,0.051510341
Debt_To_Price,-0.001658555,-0.710860956,0.124200348,0.326658595,0.32341841,0.000497023,0.009360212,0.297272322,7.886544311,0.064370845,0.037452792
Stock_Repurchase,0.002263679,0.720556125,0.011424144,0.33289966,0.32341841,0.000487899,0.004280944,0.700164978,9.609568753,0.063191195,0.088212496
Cashflow_To_Debt,-0.001505639,-0.437711578,-0.0633917,0.332617161,0.32341841,0.000430391,0.0079956,0.308503522,8.271200317,0.066140929,0.03886779
OIBDP_Liabilities,-0.001505639,-0.437711578,-0.0633917,0.332617161,0.32341841,0.000430391,0.0079956,0.308503522,8.271200317,0.066140929,0.03886779
EBITDA_To_Debt,-0.001505639,-0.437711578,-0.0633917,0.332617161,0.32341841,0.000429868,0.007996524,0.308109984,8.272197888,0.066141125,0.038818209
Current_Ratio_Growth_5Y,-0.00104892,-0.414584156,-0.270047095,0.327543015,0.32341841,0.000375364,0.00321906,0.696658137,8.995204349,0.076514696,0.087770675
INV_Signal,-0.003480198,-1.677595447,-0.054029306,0.325462484,0.32341841,0.000349503,0.002773912,0.768468439,9.423413361,0.073331813,0.096817923
HML,-0.00089395,-0.393296811,0.02768539,0.325005473,0.32341841,0.000339092,0.005020431,0.374834175,7.745473543,0.063011416,0.047224667
Book_To_Market,-0.00089395,-0.393296811,0.02768539,0.325005473,0.32341841,0.000339092,0.005020431,0.374834175,7.745473543,0.063011416,0.047224667
Employee_Growth,-0.002459144,-1.170179589,-0.127871772,0.323716511,0.32341841,0.000333505,0.004200468,0.511311937,10.95050636,0.065381862,0.064419249
Sales_Growth_Volatility_3Y,-0.00071206,-0.273973482,-0.12690303,0.328019969,0.32341841,0.000313431,0.004815335,0.410192945,10.32845122,0.079117762,0.051679453
Liabilities_To_Price,-0.001290135,-0.597927649,0.140467902,0.326831979,0.32341841,0.000306436,0.009435584,0.183252065,8.018748681,0.06444107,0.02308759
Sales_To_Working_Capital,0.006058079,1.981319219,0.159297942,0.32763684,0.32341841,0.000304415,0.004284038,0.448048806,10.33667497,0.066224829,0.056448844
Short_Term_Investments_Change,-0.00283526,-1.432718526,-0.206378595,0.328673647,0.32341841,0.000301101,0.001949169,0.993446024,10.73056632,0.06257273,0.125162434
Sales_Growth_3Y,-0.003265284,-1.408623128,-0.126736559,0.328076144,0.32341841,0.000293227,0.006189405,0.287767149,9.42130743,0.075181796,0.036255253
Net_Income_To_Employees,-0.002708152,-0.931167933,0.114073127,0.330848881,0.32341841,0.000268932,0.004994122,0.306440329,8.150600094,0.063551302,0.038607852
Sales_To_Assets_Growth_5Y,-0.001713283,-0.694924122,-0.040805008,0.32558885,0.32341841,0.000248881,0.003591538,0.411373268,8.91606276,0.079537039,0.05182816
Assets_Growth_5Y,-0.001150265,-0.58917814,-0.039027748,0.325027342,0.32341841,0.000237206,0.004495902,0.333608272,10.43544241,0.07436006,0.042030692
Earnings_Volatility_3Y,-0.001108454,-0.500790106,-0.108862102,0.327637791,0.32341841,0.000212568,0.00523129,0.237158202,8.603594235,0.070354757,0.029879125
Current_Ratio,-0.004446361,-1.813262843,-0.26649402,0.332769379,0.32341841,0.000184255,0.006193418,0.180818989,9.444421661,0.064708298,0.022781051
Revenue_Surprise,-0.005465671,-1.892594088,-0.279855414,0.330990068,0.32341841,0.000178004,0.003335456,0.308449903,8.419396887,0.078166482,0.038861035
Sales_Growth_5Y,-0.000495806,-0.231777661,-0.162603844,0.326354912,0.32341841,0.00017353,0.005307304,0.201670207,9.791857937,0.079671504,0.025408058
Earnings_Surprise_1,-0.003425038,-1.507815649,-0.290764595,0.33096022,0.32341841,0.000173527,0.0023375,0.384196694,6.812039358,0.066453141,0.048404234
Standardized_Unexpected_Earnings,-0.003425038,-1.507815649,-0.290764595,0.33096022,0.32341841,0.000173527,0.0023375,0.384196694,6.812039358,0.066453141,0.048404234
Net_Debt_To_Price,-0.001577291,-0.590190892,0.161223964,0.331621964,0.32341841,0.000172501,0.006540948,0.139679916,7.109182743,0.062881865,0.017598015
Cashflow_Volatility,8.53E-05,0.040220457,0.023366609,0.326404292,0.32341841,0.000165305,0.004111077,0.245558508,9.549474324,0.120952449,0.030937464
Corporate_Investment_Growth,0.001235761,0.499589262,0.032160263,0.325409893,0.32341841,0.000146926,0.002970105,0.31733998,10.86839159,0.074915736,0.039981079
Quick_Ratio,-0.003276141,-1.350030716,-0.271045645,0.331152284,0.32341841,0.000144509,0.006208404,0.140892065,9.35401205,0.064180899,0.017750732
RMW,-0.002095123,-0.623897738,-0.08888574,0.334778624,0.32341841,8.29E-05,0.003782699,0.128781446,8.735276012,0.063011269,0.016224937
Payout_Yield_Cashflow,0.0012365,0.427821784,0.146243176,0.327098992,0.32341841,2.54E-05,0.004696646,0.033690291,10.04769433,0.06490367,0.004244578
Convertible_Debt_Indicator,-0.001495923,-0.278590324,0.003896667,0.33000742,0.32341841,2.38E-05,0.010289891,0.015199429,11.76284947,0.07689452,0.001914948
Cashflow_To_Assets,-0.002660368,-0.847730369,-0.04089553,0.331606298,0.32341841,2.15E-05,0.010426761,0.011832848,8.268849456,0.065626017,0.001490799
Absolute_Accruals,0.000777961,0.369994988,0.027743802,0.325536634,0.32341841,1.07E-05,0.005712628,0.011465086,9.52425944,0.069765492,0.001444465
Cash_To_Fixed_Assets,-0.001792315,-0.815635802,-0.187743223,0.328328243,0.32341841,9.99E-06,0.005689384,0.011341161,11.09950089,0.063920885,0.001428852
Cash_Productivity,-0.000487608,-0.209546519,0.11254993,0.327146082,0.32341841,-1.99E-06,0.005489356,-0.002203651,9.488765143,0.062762247,-0.000277634
Composite_Equity_Issuance,-0.002479308,-0.911435228,0.02495503,0.332604292,0.32341841,-1.90E-05,0.006704083,-0.01686119,8.965766535,0.075871144,-0.00212431
Sales_To_Inventory_Growth,-0.004059771,-1.97862351,-0.015511693,0.325496725,0.32341841,-3.13E-05,0.003281721,-0.059269634,10.02823542,0.071976255,-0.007467272
Outstanding_Shares_Log_Change_1Y,-0.001537818,-0.604546876,0.053024599,0.3312434,0.32341841,-4.57E-05,0.005427301,-0.049327824,8.690323698,0.063988762,-0.006214722
Aiden_Alpha_3,0.001574278,0.566602156,0.075839676,0.330572647,0.32341841,-4.72E-05,0.007237826,-0.041276751,10.49025498,0.077968031,-0.005200382
ETR_Signal,-0.000790642,-0.492970912,0.236133689,0.326247676,0.32341841,-9.79E-05,0.002673729,-0.228012583,10.03883803,0.11934651,-0.028726885
Net_Noncash_Working_Capital_Change,-0.001543164,-0.636915724,-0.092284848,0.325582704,0.32341841,-0.000101986,0.00358424,-0.172000824,9.322389298,0.06440252,-0.021670067
Advertising_Expense_Growth,-0.001205985,-0.479005184,-0.008123546,0.325998145,0.32341841,-0.000108609,0.004534796,-0.149789232,10.15254513,0.064660233,-0.018871669
Dollar_Trading_Volume_Growth_3M,-0.006975793,-2.080491896,-0.192326747,0.329517482,0.32341841,-0.000119822,0.005549991,-0.116585813,7.366783109,0.064148642,-0.014688432
ROIC,-0.000360236,-0.104865792,-0.028309348,0.331853398,0.32341841,-0.000128504,0.007938567,-0.087014165,7.305229588,0.064977291,-0.010962754
Sector_Neutral_Stability,-0.000222799,-0.080364266,0.270431257,0.334605694,0.32341841,-0.000137303,0.005857157,-0.136571379,8.575498159,0.064912224,-0.017206376
Sales_To_Inventory,-0.002668562,-1.147234453,0.026561999,0.327124922,0.32341841,-0.000153983,0.004834918,-0.198266714,10.02710176,0.072340584,-0.024979258
Capital_Expenditures_Growth_3Y,0.000949048,0.396880599,0.027579103,0.325496504,0.32341841,-0.000173615,0.004090174,-0.262176014,9.820953137,0.070087967,-0.033031073
Capital_Expenditures_Growth_2Y,0.00010259,0.040852845,-0.027693552,0.32552721,0.32341841,-0.000179738,0.004252561,-0.266991613,10.4169501,0.067593819,-0.033637781
Accrual_Volatility,-0.001177542,-0.522058164,-0.009793076,0.329438972,0.32341841,-0.000183703,0.005549377,-0.201443888,9.470725908,0.079047056,-0.025379544
Tax_to_Book_Income,-0.001008681,-0.606594221,0.01173824,0.324635611,0.32341841,-0.000212362,0.00251796,-0.541897902,10.87046787,0.102162102,-0.068272718
Advertising_Expense_To_Market_Value,-0.000180663,-0.071439584,0.074669888,0.324341321,0.32341841,-0.000242276,0.005750369,-0.268727735,10.69879936,0.063612032,-0.033856512
Current_Ratio_Growth_3Y,-0.003197631,-1.559474277,0.01634464,0.323467342,0.32341841,-0.000249167,0.003221104,-0.471011583,9.451769131,0.070215063,-0.059341882
Close_Price,0.001039367,0.221356725,-0.037669034,0.333758445,0.32341841,-0.000251976,0.005985509,-0.226689101,7.324066346,0.062999134,-0.028560142
Interest_Coverage,0.001111007,0.329949763,-0.026403589,0.334514223,0.32341841,-0.000256067,0.00509689,-0.252433499,6.485205762,0.069265895,-0.031803631
Current_Ratio_Growth_1Y,-0.005290333,-2.318705112,-0.054647171,0.323280644,0.32341841,-0.000258344,0.002678074,-0.581742824,9.216686755,0.064228392,-0.073292707
Percent_Accruals,-0.00101498,-0.468172619,-0.069696427,0.328921605,0.32341841,-0.000264955,0.002650841,-0.607443396,9.382141402,0.064984173,-0.076530674
Ads_To_Market,-9.55E-05,-0.036257725,0.081776451,0.324138462,0.32341841,-0.000272224,0.005684323,-0.304735196,10.62340802,0.062332871,-0.038393026
Unlevered_Cashflow_To_EV,-0.001176477,-0.33872504,0.062007926,0.32585121,0.32341841,-0.000292344,0.006567874,-0.251055954,8.008398604,0.069507166,-0.031630077
Quick_Ratio_Growth,-0.005794245,-2.34158828,-0.015834942,0.323241167,0.32341841,-0.000292419,0.002678632,-0.661401153,9.301153738,0.063844669,-0.083328713
Return_On_Net_Operating_Assets,-0.005993015,-1.687213692,0.087753765,0.33003495,0.32341841,-0.000293004,0.003849715,-0.438444733,8.346916684,0.063605733,-0.055238844
Aiden_Mom_Growth,-0.000107544,-0.038967029,-0.020124794,0.323954634,0.32341841,-0.000295182,0.004191802,-0.391710939,7.779359136,0.074844307,-0.04935094
Long_Term_Reversal,0.003999011,1.116785192,0.028531491,0.330234967,0.32341841,-0.000304155,0.009136837,-0.184900395,7.771399786,0.069856021,-0.02329526
Noncurrent_Operating_Liabilities_Change,-0.000781697,-0.361408099,0.137113088,0.325764303,0.32341841,-0.000304315,0.003155769,-0.612457244,10.50306215,0.06440979,-0.07716236
ROA,0.001285849,0.356107106,0.035964683,0.331050106,0.32341841,-0.000306395,0.008376097,-0.189561605,6.838157297,0.065478378,-0.023882517
Net_Income_Growth_5Y,-0.003247563,-1.055305366,0.083910564,0.33179448,0.32341841,-0.000321447,0.00363983,-0.523225395,8.859671331,0.075505793,-0.065920204
Payout_Yield_Treasury,0.003811363,1.725607368,0.1396118,0.325123549,0.32341841,-0.000322226,0.004391776,-0.460112917,10.1848103,0.062502101,-0.057968779
CMA,-0.002434135,-1.207269522,0.032531921,0.327413007,0.32341841,-0.000329577,0.002996765,-0.589814155,7.238252028,0.063011331,-0.074309599
Assets_Growth_1Y,-0.002434135,-1.207269522,0.032531921,0.327413007,0.32341841,-0.000330634,0.003000443,-0.591170403,7.242350091,0.063011331,-0.07448047
Momentum_12_Adjusted,0.001351021,0.534054309,0.082519402,0.326610847,0.32341841,-0.000343363,0.009995154,-0.221529658,11.04797597,0.06289775,-0.027910114
ROA_Growth_5Y,-0.004093407,-1.667905434,0.113148293,0.329687288,0.32341841,-0.0003486,0.003559572,-0.575591667,8.69469051,0.075474638,-0.072517734
Equity_Issuance_Yield,-0.000736998,-0.234810958,-0.038474459,0.331099161,0.32341841,-0.0003584,0.003096681,-0.709157068,9.545528385,0.063133065,-0.089345393
Dividend_Yield,-0.000543406,-0.186067984,0.136755447,0.328316374,0.32341841,-0.00035934,0.00548884,-0.350729019,7.247655039,0.112813148,-0.044187703
Aiden_Alpha_2,0.001586262,0.58770295,-0.087797906,0.326829368,0.32341841,-0.000366204,0.006035317,-0.372530369,9.660827828,0.076960591,-0.046934415
Aiden_Value_Quality,-0.000564326,-0.207508463,0.003025277,0.328527335,0.32341841,-0.000377871,0.007215529,-0.330984998,10.42304129,0.067908574,-0.04170019
Net_Income_Growth_3Y,-0.002391392,-0.985232919,-0.035432175,0.328978278,0.32341841,-0.000383982,0.003251542,-0.721027411,9.460411478,0.069922738,-0.090840915
Depreciation_Ratio_Net_Growth,-0.004376382,-2.118540511,-0.033655476,0.327664521,0.32341841,-0.00040517,0.002778049,-0.929449292,10.48990088,0.063534621,-0.117099604
Depreciation_Ratio_Gross,-0.003234041,-1.714882483,0.270810006,0.328455895,0.32341841,-0.000409828,0.003430377,-0.769935685,10.89083951,0.064157839,-0.097002779
SGnA_Signal,-0.000461792,-0.195577349,-0.008030676,0.324605601,0.32341841,-0.000411257,0.003470599,-0.729717145,9.658469163,0.077491185,-0.091935719
Sales_Growth_1Y,-0.00684531,-2.595223164,-0.218465552,0.324810911,0.32341841,-0.000418656,0.005305725,-0.489980071,9.921101786,0.06875403,-0.061731686
Earnings_Growth_3Y,-0.002729747,-0.996483488,0.021576004,0.328391477,0.32341841,-0.00042061,0.003385731,-0.773206337,9.908037324,0.069925787,-0.097414842
Net_Financial_Assets_Change,-0.00334904,-1.853466272,-0.203128596,0.325192052,0.32341841,-0.00042689,0.003459874,-0.755770811,9.525641515,0.061173406,-0.095218172
Fixed_Assets_Turnover,-0.00309636,-1.335696644,0.175419477,0.327775944,0.32341841,-0.000427456,0.003659296,-0.719297078,9.659569913,0.067072221,-0.090622914
Retained_Earnings_To_Assets,0.00127766,0.52695448,-0.076527039,0.335448299,0.32341841,-0.000434063,0.00787879,-0.328625909,9.023986077,0.065248455,-0.041402973
Asset_Illiquidity_EV,-0.003037854,-1.577191353,0.102739097,0.32556201,0.32341841,-0.000448336,0.007208334,-0.358555031,8.368674883,0.066691827,-0.045173688
Earnings_Growth_5Y,-0.003846404,-1.254784848,0.120249218,0.33144617,0.32341841,-0.000455953,0.003686275,-0.730976467,8.769820829,0.075499797,-0.092094378
Working_Capital_Accruals,-0.001530324,-0.587023397,-0.014315296,0.326458309,0.32341841,-0.000457649,0.004118349,-0.693822086,10.0124636,0.064600544,-0.087413366
Inventory_Change,-0.003000026,-1.536884557,-0.098391985,0.322816065,0.32341841,-0.000465048,0.002472671,-1.153055501,9.409945467,0.062901707,-0.145271338
Net_External_Finance,-0.002165525,-0.851005357,0.074776736,0.336438646,0.32341841,-0.000466735,0.005244278,-0.483064852,7.413238246,0.065149176,-0.060860451
Sales_To_Assets_Growth_1Y,-0.002371194,-0.964326394,-0.126765897,0.325937681,0.32341841,-0.000472035,0.004601993,-0.630436651,9.638067268,0.068786871,-0.079427552
ROA_Growth_3Y,-0.000847867,-0.417558323,0.109981235,0.32516578,0.32341841,-0.000474823,0.003029982,-0.924471135,8.687181479,0.069865772,-0.116472415
Net_Equity_Finance,-0.002092816,-0.790620314,-0.091375201,0.332831687,0.32341841,-0.000488143,0.005030417,-0.594800001,9.581556068,0.065449332,-0.074937756
Capital_Expenditures_Growth_1Y,-0.001732237,-0.722411985,0.035572826,0.324288582,0.32341841,-0.000520551,0.003839149,-0.870781553,10.7429369,0.065070357,-0.109708164
Return_On_Total_Capital,0.000171728,0.043012223,-0.03716871,0.332236325,0.32341841,-0.0005216,0.010729819,-0.271070971,7.826590145,0.065650989,-0.034151732
COGS_To_Sales,-0.00129068,-0.554839712,0.057329742,0.328608956,0.32341841,-0.0005502,0.004690633,-0.765546109,11.30685282,0.067872519,-0.096449744
